INSERT INTO hallgato VALUES ('U5H81I', 'Rhett', 'Jad', 'D6D5D2OP', '+36206503247', 'Jad2a5f@gmail.com', '662ac2966625b15c9f0c756d36b4b86a94147fde166cc943c3d7b352b7e6e909', TO_DATE('1970-03-05', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('CH1NBL', 'Kaden', 'Jeffrey', 'JPQ65ETP', '+36204376158', 'JeffreyDdDm@gmail.com', 'd3970a7fa040d69cf67ac4db89d2aae51c6b4e3584478ab7205e1e9c5fddb1b7', TO_DATE('1972-08-19', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('OU89V5', 'Kayson', 'Erik', 'G6023UKM', '+36308102425', 'ErikAlfv@gmail.com', 'f166226706d234dbf22ef3eda3a666a9c6a6fb249c193dd38920cc18a953dfb1', TO_DATE('1997-10-15', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('Y5C931', 'Dayton', 'Zachariah', '88B9WD2A', '+36202851233', 'ZachariahHrFw@gmail.com', '34a2cba03bb7efc9263302846b631a6d0570e5a795d164c9a493e7933af9fb82', TO_DATE('1977-02-27', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('ZBA2K5', 'Brycen', 'Daxton', 'HWJ026UC', '+36206259478', 'DaxtonGLu1@gmail.com', 'd1fb0e29bbd1716985184cea0bca63502b4b81607350cb7fc8da44663a133ffc', TO_DATE('1989-10-10', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('BAZH0F', 'Maximo', 'Muhammad', 'MER9A073', '+36306150606', 'Muhammadg09h@gmail.com', 'c34d39bd4366113852cb438dae55ea8ec1b5d323e809f62604015cc7b13f62cd', TO_DATE('1979-08-12', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('Z28EHH', 'Joel', 'Adam', 'I5WGD61M', '+36700878745', 'Adam10Du@gmail.com', '3f0c9b03e8e39b03773c7ea7621035cb6fc947cd41ca7c44056d7e7bbaebb3d4', TO_DATE('1962-08-25', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('J50PVL', 'Tru', 'Cole', 'Q3XS6JIP', '+36307173347', 'ColeE8W5@gmail.com', '47b57de0c88d01209f9cd7f7be8c5ac1718add9bafdbe89b4eb894fcb5a477fb', TO_DATE('1973-07-15', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('B1LDB8', 'Kobe', 'Kairo', 'A8JUURKO', '+36203587988', 'KairorDn4@gmail.com', 'cce722457e74fccf8eea13821ad0523ac1e0695640891870fb4b14e5064f1c2a', TO_DATE('1980-01-15', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('EHS14Y', 'Terrance', 'Theodore', 'X61DYX3J', '+36301627313', 'Theodorea85k@gmail.com', '71cdd1b9b53bf44f491cbca41da75b190745beee2116815ee67c6436419b4754', TO_DATE('1971-03-31', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('R1O50K', 'Lian', 'Moses', '4TY2T549', '+36302637958', 'MosesZ9cu@gmail.com', 'b4b140c9d039ca28bdf9ca1b7954efcb323392701020fe1a3087e0ff3f248632', TO_DATE('1972-07-02', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('T3I48N', 'Blaise', 'Braylen', '3H4L6WSX', '+36706045049', 'Braylen83jQ@gmail.com', 'ca8e6d8e5a9214456b655b612d9d13b1bfda4aed5174ff15a8d23c053e6daef5', TO_DATE('1989-04-07', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('1VW5TU', 'Sage', 'Dangelo', '4T4BSR45', '+36201225594', 'Dangeloq19E@gmail.com', 'f4c49f68de188b21619dc3eb1c35572d9b92b900f9cbf8cf12e53e52d26776c0', TO_DATE('1982-05-31', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('ALN1IS', 'Ismael', 'Ian', '3B2TIQD8', '+36200036321', 'IantVV8@gmail.com', '5dfaaebff3e8ec0b796b47c7c674652150d92a16837946220d7efea32b8a854d', TO_DATE('1964-09-04', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('QTCNEJ', 'Conrad', 'Lyle', 'F00ATESZ', '+36309589329', 'LyleM7o6@gmail.com', '0e5a2bfa27c0e57e4a6d883705ea7f8cf1030f5abd424011a585d2d6b6f10811', TO_DATE('1972-05-07', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('HOSZ6M', 'Princeton', 'Mohammed', 'T3G5Y4LC', '+36701010075', 'MohammedJCY6@gmail.com', '5a063d4c079f4c67a00b47c735b2296cd9de9f84532a0b0c921ad1ece4ccbd5b', TO_DATE('2001-03-10', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('ZUTOW6', 'Kenzo', 'August', 'TY332WO8', '+36209631112', 'August9n2I@gmail.com', 'a66d8970e569a944234cbee8c414357fa6092c1ab779fbd637433f23e2a8abb8', TO_DATE('1989-03-05', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('QG9870', 'Nelson', 'Dennis', 'OEBGBY7W', '+36300671019', 'DennispvJ2@gmail.com', '16fed142e9aa22932da6e59a81eeaa9076e093c88f11aeab0c58aeab96042a3c', TO_DATE('1988-02-02', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('UVR6K0', 'Talon', 'Johnathan', 'ANMC7SU1', '+36204080305', 'JohnathanfRNY@gmail.com', 'db2b5f7ac9c15aba48d57c074a8048197dd96b935f5449247abf51f26bde675b', TO_DATE('1993-10-19', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('XJZIYE', 'Aarav', 'Billy', 'T17ZF5KH', '+36201449906', 'Billyeylz@gmail.com', '85eea4a0285dcb11cceb68f39df10d1aa132567dec49b980345142f09f4cb05e', TO_DATE('1983-04-24', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('1AR3MC', 'Creed', 'Colt', 'C04HT4UT', '+36305307581', 'ColtxlWV@gmail.com', 'ed0f44fd5794f091672bc558bb22b6cb607490ad2d961148e761d92855efab1b', TO_DATE('1997-07-19', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('2WP10U', 'Holden', 'Judson', 'M2ZVFBY5', '+36200623711', 'JudsonG3dx@gmail.com', 'd6dbbbecaba142470c010f4b2153c1f50c35a34e1c4ecbc685541116bef93bce', TO_DATE('1973-06-02', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('OFTN66', 'Sawyer', 'Edwin', 'ECT2DL04', '+36206780392', 'EdwinLPG6@gmail.com', '39a5fd65a664e6728c0ae55f694dcea66409e5af29bbbee53deffd07c712de32', TO_DATE('1999-08-17', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('CEYRAH', 'Grey', 'Kyree', 'VRQ5VBWE', '+36709453476', 'Kyree942f@gmail.com', 'd6bea821e1e3445d6ff124de1c87912493a2f8917d66226e7b3cc88d979f02c4', TO_DATE('1976-10-03', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('GN1ND7', 'Blaise', 'Jericho', 'QE4BZGPL', '+36707309046', 'JerichouT8p@gmail.com', 'c7a522155613a8d980e205c6563b00ad85a9979b3d1410ea113165a611ecef7c', TO_DATE('1998-12-26', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('WG8IJT', 'Ivan', 'Zyaire', '22GH6WC5', '+36302939083', 'ZyaireUv6g@gmail.com', '6b503f79834790e98f9ddd6de9c456f648cf8d3c33196feb516f20bd833e64e2', TO_DATE('2000-01-16', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('OOEOQE', 'Boone', 'Eduardo', '2SLEHLA1', '+36201217334', 'Eduardo1OcM@gmail.com', '39981b0880b1956bfccbba9260bb848ccd28ed2651e11553c53489847a252ba4', TO_DATE('1986-08-24', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('8JCBS0', 'Muhammad', 'Hugh', 'KZPDIRCQ', '+36700373085', 'Hugh30CJ@gmail.com', '7063a398942ba5c6125429518d0608563f3974bb48013ddf58fb01d431538af2', TO_DATE('1992-12-12', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('8DZTYZ', 'Zahir', 'Will', 'PO42C4B7', '+36704119160', 'WillwbX0@gmail.com', '6cef4ccc1019d6cee6b9cad39d49cabf808ba2e0665d5832b70c44c09c2dfae0', TO_DATE('1975-04-23', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('5UCKQT', 'Grayson', 'Jericho', '662CDEKF', '+36207575114', 'JerichoGCO1@gmail.com', 'c7a522155613a8d980e205c6563b00ad85a9979b3d1410ea113165a611ecef7c', TO_DATE('1978-07-24', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('2Q5XHG', 'Reed', 'Zakai', '5CUPBH0X', '+36706797911', 'ZakaiqZUd@gmail.com', '40e145c6222f9db722b70108ee87d8d1ab830f7d80689033556ba1c909765014', TO_DATE('1969-06-07', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('51DCG0', 'Adam', 'Kareem', 'IUTG4O20', '+36301635085', 'KareemeYiP@gmail.com', '7f9711ed9aaa4c9415d4c5eb181858ce437b93459b6a5aa9021f720990d4a247', TO_DATE('1978-06-27', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('2OA9BI', 'Kevin', 'Emory', 'JHULFGCK', '+36303177343', 'Emory8S78@gmail.com', 'ed6b3747bb5db8c3068343c2d5f40564fb254be92ae1f694535af2de5fe548d4', TO_DATE('1961-09-15', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('IQ9SEJ', 'Sean', 'Walter', 'GMDSRXZ0', '+36700742865', 'WalterZLiA@gmail.com', 'd1289e5a730e1e6790a48093f470913a1a1dd0942518d3fb5aeab2a0d163bbc0', TO_DATE('1993-02-12', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('H1W1G8', 'Alistair', 'Lucca', 'VKWSFSIV', '+36700704637', 'LuccazMkM@gmail.com', '4bf62afc85cc1b376a920fc0b5e998b9eee5fbbf9bbfbe08e04a1b1b1dbc0ecd', TO_DATE('1976-07-12', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('R3H5D7', 'Landyn', 'Bear', 'FGAWGDZ4', '+36304352582', 'BearQCRS@gmail.com', '8c578ed3e9d5fec6f0f1f46402fdb52e4b6174ae74aef1487b1905d0b666c168', TO_DATE('1983-06-20', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('9ZNY6S', 'Kamden', 'Marquis', 'V7USU4M5', '+36302170233', 'MarquisC25u@gmail.com', '28fe1af2f8c096657c81b4d1bdde8ae5268f2d6a26d05a37ba513da3d7afedfa', TO_DATE('1981-10-22', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('EEE2NW', 'Boden', 'Cyrus', 'ZKGZ7PI5', '+36705400290', 'Cyrusx3UD@gmail.com', 'acd858ab4b8580c8453ec172fcc93145ef12d59030fdb3438c8cb9369523f9b9', TO_DATE('1989-07-02', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('TORUM6', 'Matias', 'Bryan', 'UH92JFRI', '+36302377616', 'BryanCRjm@gmail.com', '674c1f08fac053e604366eb24f2123568e367479301d4dd14e6109ca85abda1b', TO_DATE('1992-09-07', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('Q03STA', 'Terry', 'Keenan', 'XI813415', '+36703584936', 'KeenanZ92q@gmail.com', '08243bdf2064c98163fdfb84b064ee7982435996b46e87f9258b570ae61ce094', TO_DATE('1981-03-13', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('IAJVFG', 'Pierce', 'Landyn', 'D8QBTNM3', '+36302507707', 'Landynnhnk@gmail.com', '6792d6fa76589dcf2c461e98a336fd229f3c90315a2a4a78593f39ec84d64671', TO_DATE('1989-07-09', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('JGFT0U', 'Gavin', 'Elliott', 'RU77ND9G', '+36705330993', 'ElliottGCcs@gmail.com', 'a33ef009be4ad4c0d28e503d75afda120cb3870257a243a7a8ccabcf1ef7f0fe', TO_DATE('1975-04-30', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('H8SUOZ', 'Anderson', 'Archer', 'L185SXO7', '+36300440519', 'Archert1ar@gmail.com', '71f2149b5982e467908f4dd974d3cf0c1533bb97717bd9e85f845848553de00d', TO_DATE('1985-05-27', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('WW56Z4', 'Charles', 'Dario', '8ZI0QKGR', '+36306233708', 'DarioRSDi@gmail.com', '1a274c1a952b65d798c2736f86927a8a05d3cd8cb3175eca2ec64766647c368e', TO_DATE('1963-08-20', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('UVFIZF', 'Kaysen', 'Dorian', 'PX4852XK', '+36306519295', 'DorianQHNv@gmail.com', '886ff287563268e7b0014b0e3a1a5052ffb4e0c5e4c0cdd03110bc2ef70ae128', TO_DATE('1992-12-12', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('WDIPQR', 'Benjamin', 'Zakai', 'MXNSRMUM', '+36305330345', 'ZakaicouC@gmail.com', '40e145c6222f9db722b70108ee87d8d1ab830f7d80689033556ba1c909765014', TO_DATE('1997-07-17', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('7UCR4L', 'Adan', 'Thomas', 'FUCLE9MI', '+36206171857', 'Thomas22c3@gmail.com', '5dfcf9ef1fb1ecbce32fefe37ae99aff68832a7e2ac74f52daa5a1bcd8038118', TO_DATE('1997-09-02', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('84J1SS', 'Kamari', 'Adonis', 'KBJPNIQY', '+36207384623', 'Adonis2wM1@gmail.com', 'c7c06c3dcf1e31c945784fe19d171a2361a2dd4f77e217eab78a5ac251fb6855', TO_DATE('1992-11-23', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('U3HKVR', 'Jett', 'Misael', 'VZ2HVDID', '+36308526411', 'MisaelAPqx@gmail.com', '293c72a751a73cf14e79980dae9f4024e8fbb5f8185015e0f749e077668a4edf', TO_DATE('1992-06-02', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('36NWN6', 'Calum', 'Hamza', 'C4OYXGYN', '+36201074288', 'HamzakvFn@gmail.com', '26ac05af275df37b36a23a75dfb701c48ecbdb6a5a578674c36274737864f4ce', TO_DATE('1985-05-13', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('SKSIBL', 'Hector', 'Lawson', 'PJ5J58W4', '+36708631535', 'LawsonsT9h@gmail.com', '9950fd2c5b1854dcf27d5f1c8cfcec3563c57694ba3ce6e4c3871c22836f8a50', TO_DATE('1964-10-29', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('FR167J', 'Philip', 'Gianni', 'R747FE51', '+36705221150', 'GianniozFm@gmail.com', '0ebfe408aa5ace6734971374aaff68968eb0935ffa3aa314394a1b8f4274bbb6', TO_DATE('1980-03-14', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('WXTGW4', 'Micah', 'Darren', '6E7AGK7L', '+36704739884', 'DarrenzpAi@gmail.com', '0e32a320e97518e6ade7014457d4467ac5fbd63b57c4f21ce30f7ca3749d3afc', TO_DATE('1973-05-29', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('I1NZ9F', 'Desmond', 'Phillip', 'MX0DV68E', '+36702536257', 'Phillipl6tw@gmail.com', 'c83dd1a9a8ffb1ab5090c204d34aa66dba43a53e557ef08e95cb8411357de6ae', TO_DATE('1974-11-23', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('CZ5ESN', 'Arthur', 'Layton', 'V4P8IE4Z', '+36709258962', 'LaytonuUxC@gmail.com', '11dd9ba8e83e047645c354e3035d65c939ed07e5250de36f98e428bc0ac9bcbd', TO_DATE('1979-09-26', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('S324F5', 'Raymond', 'Forrest', 'OEHD49AF', '+36200063031', 'ForrestXdp2@gmail.com', '26f7540d0c46211bc90d48a297f5f62c3ef8f996dc5fb6509b13898b1df452d7', TO_DATE('1991-08-25', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('B2YW5W', 'Joshua', 'Harvey', 'CNA9YN3N', '+36309554493', 'HarveykQIf@gmail.com', '2db7a0c30b879e153450129605fc826cee1db5d4df9d5ead38b81fb7f5935dc8', TO_DATE('1967-08-14', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('S8M81H', 'Jakob', 'Kobe', 'L9XL8QIW', '+36704045895', 'Kobedl8I@gmail.com', '973bc030fd9688d96808a5cafb3ec0f8f3f8227e98364e624efd2fbf3aef0eb4', TO_DATE('1986-03-19', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('BJ05PO', 'Jimmy', 'Neil', 'AT9LGO0S', '+36704637715', 'NeiljytB@gmail.com', '1e00c589486f316e7f1b9b519dc10730826365a7951c5f5093233a9b4d2a84fd', TO_DATE('1991-08-13', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('5OVS1L', 'Eduardo', 'Azrael', 'WVOX8JWH', '+36201109385', 'AzraelBWf2@gmail.com', '46634a7915790623c882835c7c547b5b36d2f6f7319e381f14f3a0b18fde74c3', TO_DATE('1997-01-01', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('5Z7ULE', 'Jonas', 'Simeon', 'MDIOOMDH', '+36207371437', 'Simeon0XSS@gmail.com', '85398a290ad41379f389ceb9007a25910e3844098dabdeb55cdb03064b99d5e0', TO_DATE('1996-07-18', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('NLDXJD', 'Miles', 'Bronson', 'J9K9NZFW', '+36707985035', 'BronsonySBO@gmail.com', 'ece608dd079f4acff30e8e6b01a96208d88de64dc20df25f4ed411d7a4d9b4b6', TO_DATE('1968-10-14', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('TPYGVX', 'Gavin', 'Royal', 'OHCFZB04', '+36701439430', 'RoyalvS7W@gmail.com', '1c0f1132e8fbff5cdc2aad743f1ef785840a053eb37ebbbd59aa23345199ed4e', TO_DATE('1964-07-04', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('13I5IK', 'Travis', 'Damon', 'Y6TT4B81', '+36705232627', 'DamonhENC@gmail.com', '564bbb78c741270f2af54362a46b53bdff909b74c4a35c1873db8bf60d3c8423', TO_DATE('1979-07-09', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('MZF2HT', 'Roger', 'Clayton', '5YQLSXOE', '+36203688408', 'Clayton7EAK@gmail.com', '7412505af9e0fe1bdbb2e732ee382673b5496f8a941b7f740f937fe0ffae3ee3', TO_DATE('1970-03-02', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('EBQKKB', 'Emory', 'Donald', 'Y4OSI05Y', '+36306276412', 'Donaldg4GO@gmail.com', '5991ce426259a177aa1e0a9a0317e4bb0a21c09cf28e4743c5c1e2c91a306d3e', TO_DATE('1977-10-17', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('0IZG59', 'Isaiah', 'Brecken', 'X07ZL8OD', '+36708795146', 'BreckenfODN@gmail.com', 'f64c6a95f0d0110d8348200daca2caf00ea0e67976f1fd152c773f7a8a8b8781', TO_DATE('1980-01-01', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('ESJ55W', 'Trenton', 'Boston', 'E3RFOD8F', '+36203788225', 'Boston2Jsx@gmail.com', 'a06522bc4aab38ee55c831f2836c86646d5ff655e8ef5c10e98006d63584f4ba', TO_DATE('1968-12-07', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('ADA0G3', 'Miller', 'Rory', 'CSFESE6B', '+36708422469', 'RoryZwyN@gmail.com', '2c7e7296f6ae2ff73cfec32cca5a61fc345c09bddd4e577e9681210cc656da31', TO_DATE('1977-01-25', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('3D6M2K', 'Jamari', 'Quinton', 'OKG3RTK1', '+36206864023', 'QuintonSVyu@gmail.com', '930c444014b450149e15208477b50ce98653da6d81ca9916e2d1cdfde253287a', TO_DATE('2000-12-24', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('6WUEC5', 'Trent', 'Gideon', '98JNVJEE', '+36208026354', 'GideondVoE@gmail.com', '1741fe3b200a28513069d84d7018309f867ba03dd86bf65e86dc3c03fcacb3d9', TO_DATE('1968-02-17', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('ZUU0A2', 'Joziah', 'Lee', 'AEQPH85K', '+36705602904', 'Leel358@gmail.com', 'e7da824a74f63dca52274274faf0c2f71513636bb3d1d741d79ff107407836e6', TO_DATE('2001-05-03', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('OFYNUP', 'Emanuel', 'Holden', '61XOC506', '+36205214675', 'Holdens1nQ@gmail.com', '5895b875ca0fecd62d3da5196121328b85ce86f4d8d38e2a510411db7ab2011f', TO_DATE('1972-08-20', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('FP2AUZ', 'Stefan', 'Carlos', '16IPWZQZ', '+36206497782', 'CarlosBfTn@gmail.com', '6369568f26e218856b8af13f45017c0c79ae212d31e4c9db41af71ce1f022a22', TO_DATE('1986-10-11', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('0LCY9N', 'Zander', 'Edward', 'EA7GC4OT', '+36207501571', 'EdwardYldx@gmail.com', '34405d46cb25925bf7127e1140816f54c3b6f3c76d77ebef7bd9742c43d75ff6', TO_DATE('1985-06-08', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('195Q7F', 'Jesse', 'Wes', '8HNTHGXZ', '+36702901189', 'WesGux8@gmail.com', 'ec99d52a641c643f504a10334cfb7f2e54560ded35fe9c0a34b4f6e2d7d7b872', TO_DATE('1989-08-08', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('WJJZSQ', 'Lyle', 'Brock', 'LSW46037', '+36708537965', 'Brock9v8n@gmail.com', 'e93677325a9d3193940f860b58fa8461a2f038c5aab619ab334efd1a6544ff52', TO_DATE('1976-10-19', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('GOT9OR', 'Roger', 'Terry', 'SJ67MYKQ', '+36707839716', 'TerryEj7h@gmail.com', 'd48f650c9b96e0b89fbbbcf3f5fff9ae6a1a998d48f76c34b7b62e92e50c32e9', TO_DATE('1998-09-24', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('DZQC5W', 'Abel', 'Mohamed', 'SS4NUTG9', '+36207997278', 'Mohamedg5Rm@gmail.com', '71fd1eba032bb0ba51d4dcd6be1e9799ef98da9e06eb75e98d0dd78331233a25', TO_DATE('1971-06-12', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('545Z1W', 'Yisroel', 'Denver', 'FMAAZ5HE', '+36702478215', 'DenverSpZC@gmail.com', 'fcdeb8c07d4a0e1d3b453067c2e819ba1caaf77a2a8a4acd990746e1bf242ec6', TO_DATE('1976-08-10', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('511QAF', 'Kobe', 'Santiago', 'XFS4228S', '+36303096880', 'Santiago3BdI@gmail.com', '30362306091ef8d489fd8e92de49e5a40f3a2ffb6bda952f178fe394d8492fd9', TO_DATE('1980-08-28', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('8TTS56', 'Wesley', 'Joey', 'N6093J4B', '+36206339689', 'JoeydY8a@gmail.com', 'f73ba8bf6b81144a6bea93fbce026a3d8dd1cd16c9b4204dd0010ce5b79da1cb', TO_DATE('1971-08-10', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('G3S7BZ', 'Ricardo', 'Eithan', 'A1RLMDV3', '+36306301466', 'EithanHR18@gmail.com', '316710ca9b90b45fb93a8af608a4092bc029381c3ed760f44a438c1909924a39', TO_DATE('1995-03-16', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('LLDOK0', 'Joe', 'Samson', '2PGQUYBR', '+36704295949', 'Samson034q@gmail.com', 'b2e8f9cf55af20460c367b830741bfd67f8151c8bc4b0dda4c79db1331c3f635', TO_DATE('1976-03-15', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('R05PVI', 'Corbin', 'Joziah', 'A1LKTU9I', '+36208842438', 'JoziahNJ43@gmail.com', '680f88b3633c0c99a7fe9627a4ae312e5076ef74eb8b2dc2afa7269117649015', TO_DATE('1977-05-06', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('N9EDJF', 'Mylo', 'Ricardo', 'LPSAYYVQ', '+36704795061', 'Ricardoyd2c@gmail.com', '6568e1158933296b86cdc3472474c883d9bac7b5b14092313cdc2aabdd8d4e79', TO_DATE('1961-03-20', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('KSOUVT', 'Harvey', 'Lucca', 'JPZXI3LT', '+36309998736', 'LuccaNFL1@gmail.com', '4bf62afc85cc1b376a920fc0b5e998b9eee5fbbf9bbfbe08e04a1b1b1dbc0ecd', TO_DATE('1964-06-10', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('D4HY1U', 'Madden', 'Christopher', 'CH7A5S3X', '+36708929951', 'ChristopherDqCB@gmail.com', 'f3b46c145f69a06b8071dc1339081ce4923ee5f5ef55af2e5749ee1380c007ae', TO_DATE('1990-08-11', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('565SOD', 'Lawson', 'Solomon', 'YPYR1GTS', '+36208718127', 'SolomonNnaj@gmail.com', '1752604b17d00efbebacc10984f5c764adc539e0395ecc0ef65f23ee7cfe1075', TO_DATE('1961-07-01', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('KQC9BI', 'Lance', 'Trey', 'TJK7BJX4', '+36206498524', 'TreyCUi9@gmail.com', 'e73ef4d69570d61b28e32c4982fc6e28e2a25e513d239c9b5def2a383f3498f4', TO_DATE('1998-04-04', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('VU4EHX', 'Hayden', 'Kyng', '4KYETBH3', '+36208553305', 'KyngVXl4@gmail.com', '61e33656aef595a63d56ecc7bd037b7259b5c6403595b02766d6251adc7a4e52', TO_DATE('1974-08-31', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('MGL46C', 'Santana', 'Reid', 'WGUTX8UZ', '+36303692843', 'ReidiCZ7@gmail.com', 'd9f1cc927e330c6a6704803663066f39ea71e76444c79c75e56814a64c0bc6e3', TO_DATE('1970-02-10', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('T42SHP', 'Bear', 'Grey', 'EDBOB3A8', '+36306217385', 'GreywdHM@gmail.com', 'd4ac58091b024645805d5d07c1aaee8103fb6651f5ed2b14c82d45874d8e6532', TO_DATE('1964-07-01', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('4IPMA0', 'Rocky', 'Bjorn', 'IE1PZLNZ', '+36706245038', 'BjornykHB@gmail.com', 'a09834ca0dbec5adaaf55ba15fe35e1884b8889acaf4829c45f68967a78ab98b', TO_DATE('1984-09-19', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('K1E8FG', 'Walter', 'Sergio', 'W5VPAQGS', '+36302166744', 'SergioONBd@gmail.com', '9bcbdfa04fb53ac0e8baa9938cbfaa27e716db65a0d8bbd68cab18a26050117d', TO_DATE('1983-12-15', 'yyyy-mm-dd'));
INSERT INTO hallgato VALUES ('2KO8V7', 'Landen', 'Zakai', 'LPLZGHDK', '+36209141008', 'ZakaiU29w@gmail.com', '40e145c6222f9db722b70108ee87d8d1ab830f7d80689033556ba1c909765014', TO_DATE('1960-07-01', 'yyyy-mm-dd'));
